Alloy_System,Coating_Type,Chemical_Species,pH,Temperature_C,Humidity_%,Exposure_Duration_days,Flow_Condition,Stress_State,Corrosion_Rate_mpy
Nickel-Based Alloy,Anodized Coating,Carbonate,3,60,100,222,Static,High,7.091915759
Stainless Steel,Zinc Coating,Chloride,4,80,75,1852,Static,High,7.081063247
Aluminum Alloy,Phosphate Conversion,Carbonate,2,50,40,3630,Dynamic,Moderate,7.074912322
Stainless Steel,Chromium Coating,Sulfate,12,40,50,2941,Dynamic,Moderate,7.074529591
Nickel-Based Alloy,Anodized Coating,Chloride,4,95,60,1107,Dynamic,High,7.073519146
Aluminum Alloy,Anodized Coating,Carbonate,10,60,80,1249,Dynamic,Low,6.990221867
Aluminum Alloy,Paint Coating,Nitrate,4,70,70,3328,Static,High,6.887316922
Copper Alloy,Zinc Coating,Sulfate,10,15,90,340,Static,High,6.885530569
Copper Alloy,Phosphate Conversion,Sulfate,2,-10,75,2728,Static,Moderate,6.875924158
Carbon Steel,Polymer Coating,Carbonate,5,-15,35,2863,Dynamic,High,6.859264998
Aluminum Alloy,Phosphate Conversion,Carbonate,5,55,100,3557,Static,Moderate,6.823849405
Nickel-Based Alloy,Phosphate Conversion,Sulfate,2,50,85,2704,Static,High,6.815931453
Carbon Steel,Paint Coating,Sulfate,9,40,30,1601,Dynamic,Low,6.705844155
Stainless Steel,Zinc Coating,Carbonate,2,75,85,3458,Static,High,6.682702047
Copper Alloy,Chromium Coating,Carbonate,12,20,80,1263,Dynamic,Low,6.657349055
Carbon Steel,Polymer Coating,Carbonate,9,-5,65,888,Dynamic,Low,6.635000049
Aluminum Alloy,Phosphate Conversion,Nitrate,11,85,30,1587,Static,Moderate,6.60997311
Nickel-Based Alloy,Polymer Coating,Chloride,2,30,60,632,Dynamic,Moderate,6.609150623
Aluminum Alloy,Chromium Coating,Nitrate,4,5,80,1388,Dynamic,Moderate,6.567409621
Aluminum Alloy,Nickel Coating,Sulfate,8,35,60,762,Static,Moderate,6.552797998
Carbon Steel,Anodized Coating,Carbonate,7,30,45,3396,Static,Moderate,6.538955365
Copper Alloy,Zinc Coating,Carbonate,8,50,90,3119,Dynamic,Moderate,6.538050476
Aluminum Alloy,Nickel Coating,Chloride,10,90,35,2207,Static,Moderate,6.526783878
Copper Alloy,Zinc Coating,Nitrate,3,15,60,994,Dynamic,Low,6.486867444
Copper Alloy,Polymer Coating,Mixed,8,70,85,2240,Dynamic,Moderate,6.460058476
Aluminum Alloy,Zinc Coating,Nitrate,12,0,70,2099,Static,Moderate,6.453261665
Carbon Steel,Polymer Coating,Mixed,8,0,40,1862,Static,High,6.449424409
Aluminum Alloy,Polymer Coating,Mixed,5,20,95,1800,Dynamic,Moderate,6.44433129
Aluminum Alloy,Phosphate Conversion,Carbonate,4,50,85,3465,Static,Moderate,6.421178735
Copper Alloy,Zinc Coating,Nitrate,10,90,65,3438,Dynamic,Moderate,6.418403277
Aluminum Alloy,Phosphate Conversion,Carbonate,3,-15,75,1753,Dynamic,Moderate,6.393165573
Aluminum Alloy,Zinc Coating,Nitrate,11,55,30,904,Dynamic,Moderate,6.388880967
Aluminum Alloy,Phosphate Conversion,Sulfate,8,40,60,2257,Static,High,6.384766979
Carbon Steel,Chromium Coating,Sulfate,12,-5,25,2565,Static,Low,6.369428659
Carbon Steel,Paint Coating,Nitrate,2,50,15,2559,Static,Moderate,6.271223398
Nickel-Based Alloy,Anodized Coating,Sulfate,8,90,90,1332,Dynamic,High,6.225818122
Copper Alloy,Chromium Coating,Carbonate,3,80,60,2840,Static,Low,6.216524011
Stainless Steel,Nickel Coating,Nitrate,11,-15,95,1644,Dynamic,Moderate,6.181000685
Carbon Steel,Polymer Coating,Carbonate,9,85,30,3594,Static,Low,6.144274566
Nickel-Based Alloy,Zinc Coating,Sulfate,3,25,80,408,Dynamic,Low,6.141280901
Nickel-Based Alloy,Nickel Coating,Chloride,7,95,60,3429,Dynamic,High,6.129704303
Copper Alloy,Chromium Coating,Carbonate,2,-15,75,807,Static,High,6.116476422
Carbon Steel,Zinc Coating,Chloride,10,-5,25,3260,Static,Moderate,6.10852086
Aluminum Alloy,Paint Coating,Sulfate,4,35,75,1579,Static,Low,6.084729201
Copper Alloy,Phosphate Conversion,Mixed,12,85,50,2326,Static,Moderate,6.054652298
Carbon Steel,Anodized Coating,Nitrate,10,10,25,1531,Dynamic,Moderate,6.038446147
Stainless Steel,Paint Coating,Nitrate,3,-20,95,3252,Dynamic,High,6.023997058
Aluminum Alloy,Polymer Coating,Mixed,5,95,70,1117,Static,Moderate,5.99425856
Aluminum Alloy,Chromium Coating,Mixed,4,5,100,1755,Static,High,5.993530578
Copper Alloy,Zinc Coating,Chloride,2,50,25,1260,Dynamic,Low,5.992400724
Aluminum Alloy,Anodized Coating,Mixed,6,40,65,2511,Static,High,5.969494289
Nickel-Based Alloy,Chromium Coating,Chloride,8,30,100,3259,Dynamic,Moderate,5.928482778
Stainless Steel,Zinc Coating,Chloride,6,50,75,1610,Dynamic,Moderate,5.92836692
Copper Alloy,Paint Coating,Sulfate,4,90,50,3072,Dynamic,Low,5.922217716
Stainless Steel,Nickel Coating,Carbonate,12,-5,85,941,Dynamic,High,5.920072765
Stainless Steel,Polymer Coating,Sulfate,8,85,85,2317,Dynamic,Moderate,5.904705775
Aluminum Alloy,Chromium Coating,Chloride,12,10,25,1915,Static,High,5.90105252
Aluminum Alloy,Nickel Coating,Chloride,11,65,20,652,Dynamic,Low,5.879773697
Stainless Steel,Polymer Coating,Mixed,11,65,45,59,Dynamic,High,5.827811553
Copper Alloy,Nickel Coating,Mixed,10,40,70,2589,Dynamic,High,5.827233316
Aluminum Alloy,Paint Coating,Nitrate,6,95,40,1065,Dynamic,Low,5.767511369
Stainless Steel,Paint Coating,Sulfate,8,100,45,2432,Dynamic,High,5.725667651
Stainless Steel,Phosphate Conversion,Sulfate,11,-5,95,3016,Static,Moderate,5.705308482
Aluminum Alloy,Zinc Coating,Mixed,5,-10,95,2314,Dynamic,High,5.702197523
Stainless Steel,Polymer Coating,Nitrate,11,85,55,2747,Static,High,5.68996852
Nickel-Based Alloy,Phosphate Conversion,Sulfate,4,75,70,1487,Dynamic,High,5.674021074
Aluminum Alloy,Nickel Coating,Carbonate,7,45,75,2525,Dynamic,Moderate,5.622281808
Nickel-Based Alloy,Chromium Coating,Chloride,6,95,80,2761,Static,High,5.619675635
Copper Alloy,Nickel Coating,Nitrate,12,25,65,3024,Dynamic,Low,5.603461034
Carbon Steel,Phosphate Conversion,Carbonate,6,55,40,330,Static,Low,5.597396217
Copper Alloy,Anodized Coating,Sulfate,4,15,80,2718,Static,High,5.591732716
Stainless Steel,Anodized Coating,Nitrate,8,85,90,2185,Dynamic,Moderate,5.576448042
Copper Alloy,Polymer Coating,Carbonate,6,65,85,1447,Static,High,5.576260739
Stainless Steel,Chromium Coating,Chloride,7,10,60,2199,Dynamic,High,5.519003977
Copper Alloy,Phosphate Conversion,Chloride,8,70,65,1231,Static,Low,5.506145787
Copper Alloy,Polymer Coating,Sulfate,7,5,95,822,Dynamic,Low,5.441651753
Aluminum Alloy,Zinc Coating,Carbonate,8,80,65,1819,Static,Low,5.371791238
Aluminum Alloy,Anodized Coating,Chloride,2,-10,30,210,Dynamic,Low,5.369412223
Nickel-Based Alloy,Paint Coating,Nitrate,10,70,95,3580,Dynamic,Moderate,5.367214047
Stainless Steel,Chromium Coating,Sulfate,11,-15,85,2965,Dynamic,Low,5.251515874
Copper Alloy,Zinc Coating,Mixed,6,50,100,3637,Static,Moderate,5.212297321
Nickel-Based Alloy,Polymer Coating,Nitrate,2,35,75,97,Dynamic,High,5.204427398
Stainless Steel,Nickel Coating,Mixed,4,45,95,2551,Dynamic,Moderate,5.145229218
Stainless Steel,Chromium Coating,Nitrate,4,50,95,820,Dynamic,Moderate,5.134874436
Copper Alloy,Polymer Coating,Mixed,8,85,60,2403,Dynamic,Moderate,5.112205586
Copper Alloy,Paint Coating,Nitrate,2,-20,85,1893,Dynamic,Low,5.107815766
Carbon Steel,Zinc Coating,Nitrate,10,55,20,1939,Dynamic,Low,5.107391934
Nickel-Based Alloy,Paint Coating,Sulfate,6,50,95,1830,Static,High,5.096729811
Aluminum Alloy,Nickel Coating,Carbonate,12,100,35,1555,Static,Moderate,5.088799955
Nickel-Based Alloy,Anodized Coating,Chloride,3,10,55,3626,Dynamic,Moderate,5.046287233
Nickel-Based Alloy,Paint Coating,Chloride,8,90,60,401,Dynamic,Low,5.034040927
Stainless Steel,Paint Coating,Carbonate,2,100,65,1273,Static,Low,5.018924977
Stainless Steel,Zinc Coating,Sulfate,5,100,85,1619,Static,Low,4.974556255
Copper Alloy,Zinc Coating,Nitrate,5,100,55,766,Dynamic,Moderate,4.968723244
Aluminum Alloy,Phosphate Conversion,Mixed,5,45,80,2468,Static,Moderate,4.904150617
Nickel-Based Alloy,Phosphate Conversion,Nitrate,5,75,100,2982,Dynamic,Low,4.865770939
Nickel-Based Alloy,Chromium Coating,Nitrate,2,60,80,3466,Dynamic,Low,4.826969283
Stainless Steel,Phosphate Conversion,Mixed,12,30,60,1912,Static,High,4.760581934
Copper Alloy,Paint Coating,Carbonate,8,10,95,1073,Dynamic,Low,4.737191192
Aluminum Alloy,Polymer Coating,Carbonate,5,25,85,228,Static,Moderate,4.722010497
Aluminum Alloy,Paint Coating,Mixed,7,0,65,1401,Dynamic,High,4.707852422
Copper Alloy,Nickel Coating,Sulfate,8,15,100,843,Static,Low,4.682769782
Aluminum Alloy,Paint Coating,Sulfate,10,10,70,2745,Static,Low,4.681235072
Stainless Steel,Chromium Coating,Mixed,3,75,75,1589,Static,Low,4.677061853
Aluminum Alloy,Chromium Coating,Carbonate,11,45,25,3163,Dynamic,Moderate,4.634435341
Aluminum Alloy,Chromium Coating,Carbonate,3,-15,75,3606,Static,Low,4.604880335
Nickel-Based Alloy,Chromium Coating,Nitrate,12,10,100,1250,Dynamic,Moderate,4.596810215
Copper Alloy,Nickel Coating,Mixed,8,60,90,2508,Dynamic,Low,4.59347962
Aluminum Alloy,Phosphate Conversion,Mixed,11,-10,45,1997,Static,High,4.577272635
Stainless Steel,Phosphate Conversion,Sulfate,2,40,45,1250,Dynamic,Moderate,4.574439169
Aluminum Alloy,Chromium Coating,Carbonate,7,-20,85,878,Dynamic,High,4.573838601
Stainless Steel,Anodized Coating,Chloride,6,10,95,2938,Static,Moderate,4.567936243
Carbon Steel,Chromium Coating,Carbonate,2,55,15,485,Dynamic,Low,4.562566287
Copper Alloy,Zinc Coating,Nitrate,7,30,90,1042,Static,Low,4.559242062
Carbon Steel,Chromium Coating,Mixed,10,-5,40,2892,Static,Moderate,4.543692345
Stainless Steel,Nickel Coating,Sulfate,10,70,70,150,Dynamic,Low,4.512508589
Nickel-Based Alloy,Polymer Coating,Chloride,8,55,75,3623,Dynamic,Low,4.502181865
Nickel-Based Alloy,Zinc Coating,Nitrate,12,20,65,3245,Static,High,4.488175046
Nickel-Based Alloy,Phosphate Conversion,Carbonate,2,60,60,35,Dynamic,High,4.48403755
Nickel-Based Alloy,Zinc Coating,Nitrate,12,25,70,1881,Static,High,4.480928958
Nickel-Based Alloy,Polymer Coating,Carbonate,12,-10,85,3284,Dynamic,High,4.476819423
Nickel-Based Alloy,Phosphate Conversion,Carbonate,3,80,85,1536,Static,Moderate,4.472943574
Stainless Steel,Nickel Coating,Chloride,9,5,100,3380,Dynamic,Low,4.471373264
Aluminum Alloy,Polymer Coating,Mixed,7,35,50,3446,Dynamic,Moderate,4.470052312
Aluminum Alloy,Paint Coating,Mixed,2,65,30,2747,Dynamic,Moderate,4.468260988
Stainless Steel,Chromium Coating,Mixed,3,40,60,3011,Dynamic,Moderate,4.459881759
Nickel-Based Alloy,Chromium Coating,Mixed,11,85,75,2320,Static,Low,4.455764343
Aluminum Alloy,Phosphate Conversion,Mixed,9,-10,85,3246,Dynamic,Moderate,4.453587493
Copper Alloy,Polymer Coating,Sulfate,7,25,50,1342,Dynamic,High,4.439623689
Carbon Steel,Nickel Coating,Carbonate,11,-10,20,551,Dynamic,Low,4.434048204
Stainless Steel,Polymer Coating,Sulfate,2,-10,80,1737,Dynamic,Low,4.416578193
Copper Alloy,Paint Coating,Mixed,12,10,65,1921,Static,Moderate,4.377078762
Copper Alloy,Chromium Coating,Mixed,2,-10,75,2014,Dynamic,Low,4.352756018
Copper Alloy,Phosphate Conversion,Carbonate,6,95,70,434,Static,Low,4.352025127
Stainless Steel,Nickel Coating,Chloride,3,45,25,928,Dynamic,High,4.339707022
Nickel-Based Alloy,Nickel Coating,Carbonate,12,75,80,1182,Static,Low,4.335470621
Copper Alloy,Polymer Coating,Nitrate,7,45,80,1497,Static,Moderate,4.31315736
Copper Alloy,Paint Coating,Mixed,4,40,80,1888,Dynamic,Moderate,4.311025314
Copper Alloy,Zinc Coating,Mixed,4,-10,95,3417,Static,High,4.292436553
Copper Alloy,Anodized Coating,Carbonate,3,65,30,2063,Dynamic,Moderate,4.287860108
Stainless Steel,Anodized Coating,Nitrate,2,15,65,2667,Dynamic,Low,4.272958721
Copper Alloy,Polymer Coating,Sulfate,9,55,30,1943,Dynamic,High,4.25827338
Copper Alloy,Polymer Coating,Sulfate,8,20,40,937,Dynamic,High,4.257781902
Copper Alloy,Polymer Coating,Sulfate,5,55,55,929,Dynamic,Low,4.250127771
Carbon Steel,Phosphate Conversion,Carbonate,9,-20,40,822,Static,High,4.231613874
Aluminum Alloy,Zinc Coating,Sulfate,10,40,40,1927,Dynamic,Moderate,4.224003977
Titanium-Based Alloy,Paint Coating,Chloride,12,45,80,3165,Dynamic,High,4.217365513
Copper Alloy,Chromium Coating,Carbonate,8,45,80,1547,Static,Moderate,4.207886271
Stainless Steel,Nickel Coating,Carbonate,2,10,80,3076,Dynamic,Low,4.20662396
Copper Alloy,Phosphate Conversion,Sulfate,6,-20,60,1519,Dynamic,High,4.186379158
Aluminum Alloy,Zinc Coating,Chloride,7,40,20,3585,Dynamic,Moderate,4.145139332
Stainless Steel,Paint Coating,Nitrate,10,25,90,1179,Static,High,4.139423902
Copper Alloy,Anodized Coating,Chloride,7,-10,50,3573,Dynamic,Moderate,4.129589332
Copper Alloy,Polymer Coating,Mixed,8,90,40,484,Dynamic,High,4.08782653
Copper Alloy,Zinc Coating,Sulfate,3,-15,40,3299,Dynamic,Low,4.070628136
Stainless Steel,Polymer Coating,Chloride,6,10,60,813,Static,High,4.063698172
Copper Alloy,Phosphate Conversion,Chloride,7,40,45,2209,Dynamic,Low,4.030669344
Stainless Steel,Phosphate Conversion,Chloride,7,35,65,293,Static,Low,4.017966969
Stainless Steel,Anodized Coating,Mixed,3,35,85,3288,Static,Moderate,4.016875175
Copper Alloy,Anodized Coating,Mixed,10,95,70,712,Static,Low,4.003636635
Copper Alloy,Polymer Coating,Nitrate,4,-10,70,442,Dynamic,High,4.002541092
Carbon Steel,Anodized Coating,Nitrate,10,-5,20,3057,Static,High,3.963643598
Aluminum Alloy,Polymer Coating,Carbonate,4,-5,65,1463,Dynamic,High,3.961186849
Stainless Steel,Nickel Coating,Mixed,7,15,80,1151,Dynamic,High,3.95751909
Nickel-Based Alloy,Phosphate Conversion,Chloride,7,-5,65,1609,Dynamic,High,3.953448431
Carbon Steel,Polymer Coating,Sulfate,8,65,10,2277,Dynamic,High,3.946742546
Copper Alloy,Nickel Coating,Mixed,9,25,70,1481,Dynamic,Low,3.922022268
Carbon Steel,Nickel Coating,Mixed,12,-15,30,482,Static,Low,3.898557595
Copper Alloy,Zinc Coating,Nitrate,10,15,85,3350,Static,Low,3.857393507
Aluminum Alloy,Anodized Coating,Mixed,3,-15,40,423,Static,High,3.850601002
Nickel-Based Alloy,Zinc Coating,Chloride,7,30,50,52,Dynamic,High,3.835818232
Aluminum Alloy,Zinc Coating,Mixed,9,-5,80,1969,Dynamic,Moderate,3.795248016
Aluminum Alloy,Paint Coating,Mixed,8,-10,100,1212,Dynamic,Low,3.794118476
Stainless Steel,Chromium Coating,Carbonate,10,5,80,3430,Dynamic,High,3.793483269
Aluminum Alloy,Phosphate Conversion,Mixed,7,90,40,1083,Dynamic,Low,3.764395514
Nickel-Based Alloy,Nickel Coating,Carbonate,12,50,70,720,Dynamic,Low,3.743720072
Aluminum Alloy,Nickel Coating,Nitrate,9,20,30,2464,Dynamic,High,3.738331091
Aluminum Alloy,Paint Coating,Sulfate,9,15,45,521,Static,Moderate,3.72638817
Stainless Steel,Nickel Coating,Nitrate,2,60,45,2105,Dynamic,Low,3.721402462
Nickel-Based Alloy,Nickel Coating,Carbonate,7,60,100,359,Static,High,3.708971354
Nickel-Based Alloy,Phosphate Conversion,Nitrate,4,100,80,1226,Dynamic,Low,3.684665163
Copper Alloy,Chromium Coating,Nitrate,10,50,60,2413,Static,Moderate,3.680890024
Copper Alloy,Zinc Coating,Chloride,3,40,20,2810,Static,Moderate,3.676045237
Stainless Steel,Polymer Coating,Mixed,4,90,65,573,Static,High,3.665306467
Nickel-Based Alloy,Nickel Coating,Chloride,6,45,65,3371,Dynamic,Moderate,3.663794105
Carbon Steel,Nickel Coating,Carbonate,4,-20,25,3361,Dynamic,Moderate,3.661195009
Nickel-Based Alloy,Nickel Coating,Nitrate,4,40,90,3145,Dynamic,High,3.657927745
Stainless Steel,Zinc Coating,Sulfate,9,40,65,2209,Static,Moderate,3.649160028
Nickel-Based Alloy,Paint Coating,Sulfate,3,25,65,213,Dynamic,Low,3.64216957
Aluminum Alloy,Nickel Coating,Carbonate,5,40,65,312,Static,Low,3.630623757
Titanium-Based Alloy,Nickel Coating,Sulfate,12,100,95,1535,Static,High,3.586440401
Nickel-Based Alloy,Chromium Coating,Carbonate,9,100,95,1641,Dynamic,Moderate,3.583233045
Aluminum Alloy,Paint Coating,Carbonate,12,35,20,2011,Dynamic,Moderate,3.580490592
Nickel-Based Alloy,Anodized Coating,Carbonate,7,80,85,791,Static,High,3.574503799
Stainless Steel,Nickel Coating,Nitrate,4,45,45,2348,Dynamic,High,3.567531529
Titanium-Based Alloy,Nickel Coating,Sulfate,11,90,75,1494,Dynamic,Moderate,3.563949715
Nickel-Based Alloy,Paint Coating,Chloride,5,35,80,3032,Static,Low,3.541219775
Copper Alloy,Paint Coating,Mixed,11,-5,50,2472,Dynamic,Low,3.525077431
Aluminum Alloy,Polymer Coating,Nitrate,7,65,35,2673,Static,Moderate,3.522305921
Aluminum Alloy,Phosphate Conversion,Carbonate,5,95,55,1837,Static,Low,3.510073081
Carbon Steel,Paint Coating,Mixed,8,25,20,1348,Static,Moderate,3.490813161
Copper Alloy,Phosphate Conversion,Chloride,8,50,30,1429,Static,High,3.488606236
Stainless Steel,Zinc Coating,Sulfate,4,-15,95,3061,Static,High,3.484429496
Stainless Steel,Phosphate Conversion,Chloride,7,5,65,689,Static,High,3.46689387
Nickel-Based Alloy,Paint Coating,Mixed,12,65,95,648,Static,Low,3.464184268
Copper Alloy,Zinc Coating,Chloride,6,10,45,868,Static,Low,3.460807617
Nickel-Based Alloy,Zinc Coating,Mixed,6,70,90,2682,Dynamic,Low,3.451994673
Aluminum Alloy,Phosphate Conversion,Mixed,11,-20,70,1417,Static,Low,3.447973709
Stainless Steel,Anodized Coating,Chloride,10,-15,70,2186,Dynamic,Moderate,3.412877654
Copper Alloy,Anodized Coating,Carbonate,10,15,70,1742,Dynamic,Low,3.40955976
Aluminum Alloy,Nickel Coating,Carbonate,11,40,30,2916,Dynamic,Low,3.401507226
Stainless Steel,Anodized Coating,Chloride,12,65,30,1500,Static,Low,3.38345068
Aluminum Alloy,Chromium Coating,Mixed,12,30,30,1868,Dynamic,Low,3.371475224
Copper Alloy,Nickel Coating,Sulfate,9,50,40,844,Dynamic,Low,3.349104895
Aluminum Alloy,Zinc Coating,Mixed,3,25,35,1413,Dynamic,Low,3.343869048
Nickel-Based Alloy,Chromium Coating,Carbonate,8,95,50,457,Dynamic,High,3.319684148
Copper Alloy,Paint Coating,Mixed,9,-5,75,3245,Dynamic,Moderate,3.30997017
Copper Alloy,Phosphate Conversion,Carbonate,8,60,60,3160,Static,Moderate,3.303695458
Nickel-Based Alloy,Chromium Coating,Chloride,5,95,40,561,Static,Moderate,3.301905636
Stainless Steel,Phosphate Conversion,Carbonate,8,70,70,972,Dynamic,Low,3.299468133
Aluminum Alloy,Polymer Coating,Mixed,9,-10,60,2057,Dynamic,Moderate,3.299113502
Stainless Steel,Paint Coating,Sulfate,3,95,20,2379,Dynamic,High,3.290501772
Aluminum Alloy,Paint Coating,Nitrate,10,80,30,2782,Static,Moderate,3.267634248
Nickel-Based Alloy,Zinc Coating,Sulfate,6,10,95,326,Static,High,3.264752398
Copper Alloy,Phosphate Conversion,Nitrate,3,-5,40,2897,Dynamic,Low,3.262516281
Copper Alloy,Phosphate Conversion,Carbonate,11,90,15,1794,Dynamic,High,3.253068471
Aluminum Alloy,Chromium Coating,Carbonate,6,65,60,2773,Static,Low,3.249978255
Copper Alloy,Paint Coating,Chloride,12,5,20,2748,Static,Moderate,3.239412475
Aluminum Alloy,Zinc Coating,Nitrate,7,25,35,851,Dynamic,Low,3.214388916
Copper Alloy,Polymer Coating,Mixed,11,-20,80,1504,Static,Low,3.213378946
Copper Alloy,Phosphate Conversion,Nitrate,5,-10,65,3001,Dynamic,Low,3.211393127
Stainless Steel,Chromium Coating,Carbonate,10,35,95,1482,Dynamic,Low,3.178897066
Titanium-Based Alloy,Anodized Coating,Chloride,3,95,65,2922,Dynamic,Low,3.177054963
Aluminum Alloy,Nickel Coating,Sulfate,9,50,25,549,Dynamic,Moderate,3.159683458
Nickel-Based Alloy,Chromium Coating,Nitrate,11,0,70,398,Dynamic,Low,3.147555308
Copper Alloy,Zinc Coating,Chloride,2,40,15,1611,Dynamic,Low,3.145417152
Aluminum Alloy,Zinc Coating,Carbonate,3,-15,30,3117,Dynamic,Moderate,3.138187816
Aluminum Alloy,Paint Coating,Sulfate,11,75,20,1138,Static,Low,3.133013705
Nickel-Based Alloy,Nickel Coating,Chloride,12,85,35,3497,Static,Low,3.130506927
Stainless Steel,Nickel Coating,Carbonate,7,60,75,1558,Dynamic,Low,3.109259699
Stainless Steel,Phosphate Conversion,Sulfate,5,15,60,2135,Static,High,3.107339604
Stainless Steel,Polymer Coating,Chloride,7,-10,55,3643,Dynamic,Moderate,3.097355269
Aluminum Alloy,Zinc Coating,Mixed,9,65,45,3570,Static,Low,3.09425992
Stainless Steel,Anodized Coating,Mixed,10,70,45,3265,Dynamic,High,3.081145473
Nickel-Based Alloy,Paint Coating,Nitrate,2,45,45,413,Static,High,3.072386392
Stainless Steel,Chromium Coating,Mixed,2,-20,90,1683,Static,Moderate,3.05481054
Copper Alloy,Zinc Coating,Carbonate,10,5,55,3393,Dynamic,Moderate,3.051199757
Titanium-Based Alloy,Paint Coating,Chloride,12,35,75,2305,Dynamic,Moderate,3.050407551
Stainless Steel,Polymer Coating,Carbonate,9,25,95,3016,Static,Moderate,3.048460671
Copper Alloy,Chromium Coating,Carbonate,7,20,85,2653,Static,Low,3.030903066
Stainless Steel,Paint Coating,Carbonate,5,75,75,2851,Static,Low,3.025155079
Aluminum Alloy,Polymer Coating,Mixed,4,95,40,3029,Static,Moderate,3.022587491
Stainless Steel,Zinc Coating,Carbonate,4,25,65,368,Dynamic,Moderate,3.016500026
Stainless Steel,Phosphate Conversion,Nitrate,8,0,65,2679,Dynamic,High,3.010985148
Copper Alloy,Polymer Coating,Carbonate,8,20,100,1011,Static,Low,3.00641154
Copper Alloy,Paint Coating,Chloride,10,25,30,2001,Dynamic,Low,2.973662526
Carbon Steel,Zinc Coating,Mixed,2,0,10,2991,Dynamic,High,2.97246565
Stainless Steel,Anodized Coating,Chloride,7,30,70,1459,Static,Low,2.971976334
Aluminum Alloy,Phosphate Conversion,Mixed,2,-5,35,766,Static,Moderate,2.958085599
Aluminum Alloy,Nickel Coating,Mixed,7,45,40,2893,Static,High,2.957506053
Nickel-Based Alloy,Phosphate Conversion,Mixed,12,-20,75,82,Dynamic,Moderate,2.952231509
Aluminum Alloy,Nickel Coating,Carbonate,3,20,25,308,Static,Moderate,2.945967446
Aluminum Alloy,Paint Coating,Carbonate,8,55,55,2948,Static,Low,2.922637188
Nickel-Based Alloy,Chromium Coating,Nitrate,9,70,80,2779,Dynamic,Low,2.92040424
Titanium-Based Alloy,Paint Coating,Chloride,3,45,90,1652,Static,Moderate,2.902787903
Copper Alloy,Polymer Coating,Mixed,6,90,30,350,Dynamic,Moderate,2.887789687
Aluminum Alloy,Paint Coating,Sulfate,8,-10,40,2120,Dynamic,Moderate,2.885179251
Aluminum Alloy,Nickel Coating,Carbonate,4,20,65,276,Static,Low,2.88262877
Copper Alloy,Phosphate Conversion,Nitrate,10,65,40,1581,Static,Moderate,2.876772784
Titanium-Based Alloy,Polymer Coating,Nitrate,12,45,100,657,Dynamic,Moderate,2.876126304
Stainless Steel,Phosphate Conversion,Sulfate,4,70,45,3588,Static,Moderate,2.870349775
Stainless Steel,Anodized Coating,Nitrate,2,25,35,1641,Dynamic,Low,2.840838961
Stainless Steel,Anodized Coating,Carbonate,3,25,30,659,Dynamic,High,2.827756618
Copper Alloy,Chromium Coating,Nitrate,7,-20,80,630,Static,Moderate,2.817234476
Stainless Steel,Zinc Coating,Carbonate,6,95,70,2579,Static,Low,2.80005414
Stainless Steel,Zinc Coating,Nitrate,9,95,35,1474,Dynamic,High,2.798908946
Stainless Steel,Nickel Coating,Carbonate,8,85,50,2554,Dynamic,Moderate,2.765761163
Titanium-Based Alloy,Chromium Coating,Chloride,3,65,75,3178,Static,Moderate,2.765662472
Stainless Steel,Phosphate Conversion,Mixed,4,60,75,162,Static,Low,2.757857409
Aluminum Alloy,Chromium Coating,Carbonate,2,50,30,3158,Static,Low,2.756966147
Stainless Steel,Paint Coating,Carbonate,4,25,85,840,Dynamic,Moderate,2.754686828
Stainless Steel,Chromium Coating,Sulfate,6,-15,75,3269,Dynamic,Low,2.747810529
Copper Alloy,Zinc Coating,Nitrate,7,80,50,479,Static,Low,2.738640824
Copper Alloy,Nickel Coating,Mixed,10,-10,60,2664,Dynamic,Moderate,2.738342479
Stainless Steel,Polymer Coating,Carbonate,4,35,60,2039,Static,High,2.726544398
Nickel-Based Alloy,Nickel Coating,Chloride,4,-10,80,2823,Static,Moderate,2.707947841
Aluminum Alloy,Chromium Coating,Carbonate,11,100,15,3096,Static,High,2.703238681
Aluminum Alloy,Phosphate Conversion,Carbonate,3,-5,30,2935,Dynamic,Low,2.697051173
Copper Alloy,Zinc Coating,Carbonate,11,10,20,1227,Dynamic,High,2.695983465
Stainless Steel,Chromium Coating,Carbonate,12,35,35,983,Dynamic,High,2.686255953
Stainless Steel,Anodized Coating,Nitrate,8,40,65,486,Dynamic,Low,2.683636232
Nickel-Based Alloy,Zinc Coating,Chloride,4,75,40,2024,Dynamic,Low,2.669293275
Stainless Steel,Zinc Coating,Sulfate,11,20,30,1225,Static,Moderate,2.668714178
Nickel-Based Alloy,Chromium Coating,Carbonate,12,-20,70,632,Dynamic,Moderate,2.666901309
Nickel-Based Alloy,Phosphate Conversion,Nitrate,7,35,60,40,Dynamic,Moderate,2.644427938
Stainless Steel,Chromium Coating,Mixed,7,-10,70,950,Dynamic,High,2.640747587
Copper Alloy,Anodized Coating,Nitrate,12,15,25,711,Dynamic,Low,2.638084787
Copper Alloy,Chromium Coating,Sulfate,11,25,25,1643,Static,Moderate,2.62431418
Stainless Steel,Chromium Coating,Mixed,3,-20,55,392,Dynamic,High,2.618497094
Stainless Steel,Phosphate Conversion,Carbonate,3,30,30,2869,Dynamic,High,2.601982479
Copper Alloy,Anodized Coating,Mixed,9,45,35,3291,Static,High,2.595739348
